millis,ts,type,dpIn,dpOut,o2,millis_diff
30558.0,19:27:04.962 , Vol+O2,0.0,0.0,20.66,37.0
30595.0,19:27:04.963 , Vol+O2,0.0,0.0,20.66,37.0
30632.0,19:27:04.963 , Vol+O2,0.0,0.0,20.66,37.0
30669.0,19:27:04.964 , Vol+O2,0.0,0.0,20.66,37.0
30706.0,19:27:04.965 , Vol+O2,0.0,0.0,20.66,37.0
30743.0,19:27:04.965 , Vol+O2,0.0,0.0,20.66,37.0
30779.0,19:27:04.970 , Vol+O2,0.0,0.0,20.65,36.0
30816.0,19:27:04.970 , Vol+O2,0.0,0.0,20.65,37.0
30853.0,19:27:04.975 , Vol+O2,0.0,0.0,20.65,37.0
30890.0,19:27:04.975 , Vol+O2,0.0,0.0,20.65,37.0
30927.0,19:27:05.000 , Vol+O2,0.0,0.0,20.69,37.0
30964.0,19:27:05.000 , Vol+O2,0.0,0.0,20.69,37.0
31001.0,19:27:05.002 , Vol+O2,0.0,0.0,20.69,37.0
31038.0,19:27:05.002 , Vol+O2,0.0,0.0,20.69,37.0
31075.0,19:27:05.003 , Vol+O2,0.0,0.0,20.69,37.0
31112.0,19:27:05.003 , Vol+O2,0.0,0.0,20.69,37.0
31149.0,19:27:05.003 , Vol+O2,0.0,0.0,20.69,37.0
31185.0,19:27:05.003 , Vol+O2,0.0,0.0,20.69,36.0
31222.0,19:27:05.005 , Vol+O2,0.0,0.0,20.69,37.0
31259.0,19:27:05.005 , Vol+O2,0.0,0.0,20.66,37.0
31296.0,19:27:05.011 , Vol+O2,0.0,0.0,20.66,37.0
31333.0,19:27:05.035 , Vol+O2,0.0,0.0,20.66,37.0
31370.0,19:27:05.035 , Vol+O2,0.0,0.0,20.66,37.0
31407.0,19:27:05.053 , Vol+O2,0.0,0.0,20.66,37.0
31444.0,19:27:05.053 , Vol+O2,0.0,0.0,20.66,37.0
31481.0,19:27:05.055 , Vol+O2,0.0,0.0,20.66,37.0
31518.0,19:27:05.055 , Vol+O2,0.0,0.0,20.66,37.0
31555.0,19:27:05.056 , Vol+O2,0.0,0.0,20.66,37.0
31592.0,19:27:05.056 , Vol+O2,0.0,0.0,20.66,37.0
31629.0,19:27:05.057 , Vol+O2,0.0,0.0,20.66,37.0
31666.0,19:27:05.057 , Vol+O2,0.0,0.0,20.66,37.0
31703.0,19:27:05.060 , Vol+O2,0.0,0.0,20.66,37.0
31740.0,19:27:05.060 , Vol+O2,0.0,0.0,20.66,37.0
31777.0,19:27:05.062 , Vol+O2,0.0,0.0,20.66,37.0
31814.0,19:27:05.062 , Vol+O2,0.0,0.0,20.66,37.0
31851.0,19:27:05.064 , Vol+O2,0.0,0.0,20.66,37.0
31888.0,19:27:05.064 , Vol+O2,0.0,0.0,20.66,37.0
31925.0,19:27:05.065 , Vol+O2,0.0,0.0,20.66,37.0
31962.0,19:27:05.065 , Vol+O2,0.0,0.0,20.66,37.0
31998.0,19:27:05.068 , Vol+O2,0.0,0.0,20.66,36.0
32035.0,19:27:05.068 , Vol+O2,0.0,0.0,20.66,37.0
32072.0,19:27:05.130 , Vol+O2,0.0,0.0,20.66,37.0
32109.0,19:27:05.130 , Vol+O2,0.0,0.0,20.66,37.0
32146.0,19:27:05.134 , Vol+O2,0.0,0.0,20.66,37.0
32183.0,19:27:05.134 , Vol+O2,0.0,0.0,20.66,37.0
32220.0,19:27:05.137 , Vol+O2,0.0,0.0,20.66,37.0
32257.0,19:27:05.137 , Vol+O2,0.0,0.0,20.66,37.0
32294.0,19:27:05.139 , Vol+O2,0.0,0.0,20.66,37.0
32331.0,19:27:05.139 , Vol+O2,0.0,0.0,20.66,37.0
32368.0,19:27:05.140 , Vol+O2,0.0,0.0,20.66,37.0
32404.0,19:27:05.140 , Vol+O2,0.0,0.0,20.66,36.0
32441.0,19:27:05.141 , Vol+O2,0.0,0.0,20.66,37.0
32478.0,19:27:05.141 , Vol+O2,0.0,0.0,20.65,37.0
32515.0,19:27:05.143 , Vol+O2,0.0,0.0,20.65,37.0
32552.0,19:27:05.143 , Vol+O2,0.0,0.0,20.65,37.0
32589.0,19:27:05.150 , Vol+O2,0.0,0.0,20.65,37.0
32626.0,19:27:05.150 , Vol+O2,0.0,0.0,20.66,37.0
