millis,ts,type,dpIn,dpOut,o2,dpSum,millis_diff,oneDp,o2ini,BreathMarker,volIn,volOut,o2InStpd,o2OutStpd,co2Stpd
596110.0,14:20:30.940 , Vol+O2,0.0,2.94,,0.0,,-2.94,15.35,True,1408.630718065431,,224.79203909459108,,
599030.0,14:20:31.170 , Vol+O2,0.0,0.46,,-253.5,37.0,-0.46,15.35,True,2151.4933942051234,2238.7341638261673,343.3395147353639,,
603102.0,14:20:37.583 , Vol+O2,0.0,1.57,15.152475509080903,-396.79999999999995,37.0,-1.57,15.29,True,2791.3938490950295,3059.8020995361603,445.4560781664175,399.5229886074995,151.3143527138891
608624.0,14:20:43.111 , Vol+O2,0.0,0.0,15.154739130434784,-561.1100000000001,36.0,0.0,15.41,True,1626.4778044814045,1724.2583285470973,259.5565022986283,224.86350782011075,45.59279650920803
612247.0,14:20:43.419 , Vol+O2,0.0,0.0,15.124451843698404,-288.78000000000003,37.0,0.0,15.26,True,1507.3904700219318,1510.1878214013686,240.55231305288376,196.18931002692898,-21.2059290707964
615540.0,14:20:48.958 , Vol+O2,0.0,0.0,15.059169565217392,-239.01000000000002,37.0,0.0,15.2,True,1536.4275652508554,1610.5476024179716,245.186109378764,208.10556747953456,31.655052840370217
618870.0,14:20:54.221 , Vol+O2,0.0,0.0,14.976804300974512,-278.95000000000005,37.0,0.0,15.08,True,1443.3833577963237,1479.2813698728878,230.3379331666414,190.2133854852413,5.962298451287552
621827.0,14:20:54.403 , Vol+O2,0.0,0.0,14.908071851023019,-253.81999999999996,37.0,0.0,14.96,True,1610.923137777472,1597.4398229739704,257.0742582292842,204.5427832994288,-31.73421801671043
625199.0,14:20:59.845 , Vol+O2,0.0,0.0,14.846391304347826,-279.6,37.0,0.0,14.96,True,1570.3358216276874,1604.3914765590719,250.59725510726162,204.56527732186768,4.557111394197591
628377.0,14:21:00.102 , Vol+O2,0.58,0.0,14.781644992236025,-300.09000000000003,37.0,0.58,14.9,True,1688.1516559122142,1694.3049389274622,269.3985358736087,214.96287402472868,-16.39357226838115
631857.0,14:21:05.763 , Vol+O2,0.0,0.32,14.705069309181404,-310.75,37.0,-0.32,14.84,True,1519.9940597802197,1589.8906958927378,242.563618503874,200.40770195754715,33.83257362668223
635294.0,14:21:06.045 , Vol+O2,0.0,0.0,14.603039231351442,-252.6,37.0,0.0,14.75,True,1663.4283289517464,1747.9181209548385,265.4531391068261,218.7642065584266,44.470828195038166
638807.0,14:21:11.347 , Vol+O2,0.0,0.93,14.506217391304347,-284.81,37.0,-0.93,14.63,True,1987.5033967443103,2058.135938838606,317.16967089512724,256.371524917371,32.025482588271416
642726.0,14:21:16.629 , Vol+O2,0.0,0.65,14.449739130434782,-399.97999999999996,37.0,-0.65,14.54,True,1810.5785499116528,1923.8161745366483,288.9356585482775,239.53933586958226,65.31180718225096
646460.0,14:21:16.989 , Vol+O2,0.0,0.32,14.455522244691606,-369.37000000000006,37.0,-0.32,14.6,True,1694.1261415138722,1726.463034861499,270.3519559458207,215.4298289304043,6.383739700488377
650022.0,14:21:23.258 , Vol+O2,0.0,0.0,14.491804347826086,-320.75000000000006,37.0,0.0,14.63,True,1823.3073574240036,1943.6142039746314,290.96694649283785,243.17048617928307,69.22888195789938
653682.0,14:21:28.694 , Vol+O2,0.0,0.37,14.527804347826084,-358.9200000000001,37.0,-0.37,14.69,True,1773.5832512883896,1844.094867992123,283.03187659337453,231.06184577120126,32.740388525198796
657195.0,14:21:29.000 , Vol+O2,0.0,0.0,14.54548686096512,-348.12,37.0,0.0,14.63,True,1802.1052091503277,1953.2629995022392,287.5834662928811,245.09636181172726,91.45742494916522
660869.0,14:21:34.447 , Vol+O2,0.0,0.65,14.573714782608693,-377.82000000000005,37.0,-0.65,14.66,True,2024.8386769130252,2077.2599741117015,323.1277077685668,261.4350185918018,15.545163712640715
664602.0,14:21:39.760 , Vol+O2,0.0,1.15,14.619633089133089,-413.73,37.0,-1.15,14.72,True,1772.339487259393,1934.5543826936757,282.833394302278,244.42981743510282,98.24325475713181
668153.0,14:21:40.096 , Vol+O2,0.0,0.32,14.680715254237287,-363.9799999999999,37.0,-0.32,14.87,True,1799.9413913607555,1923.7087835752036,287.23816002708054,244.14193559096412,68.56405687552319
671524.0,14:21:45.314 , Vol+O2,0.0,0.65,14.74762608695652,-373.84000000000003,37.0,-0.65,14.84,True,2161.353724661932,2313.738887798776,344.9130455132367,295.14694786297326,83.59282099596044
675292.0,14:21:45.626 , Vol+O2,0.0,1.2,14.826065093167701,-470.39,37.0,-1.2,14.96,True,1825.524539447531,1872.4979211465964,291.3207687272396,239.94434959195914,9.523391257537924
678732.0,14:21:50.827 , Vol+O2,0.0,0.24,14.885649963154016,-378.96999999999997,37.0,-0.24,15.02,True,1843.2091154230382,1936.0232607493078,294.1429078749058,248.75672786195892,42.23287037913474
682210.0,14:21:56.171 , Vol+O2,0.0,0.74,14.917913718606536,-375.96,37.0,-0.74,15.05,True,2021.375211233153,2230.6308396104396,322.5750011560191,286.9398402329154,124.77516956496129
685981.0,14:21:56.466 , Vol+O2,0.0,1.2,14.934802497687327,-474.14000000000004,37.0,-1.2,15.02,True,2789.8971698142013,2783.3913461892166,445.21723516584007,359.05211635485824,-45.257139161481064
690653.0,14:22:02.031 , Vol+O2,0.0,0.0,14.986126654064272,-568.8599999999999,37.0,0.0,15.2,True,1431.7623434616223,1644.1588670389183,228.48342901935655,212.60469725412756,134.3149188010691
