millis,dpSum
597551.0,247.07000000000002
599030.0,-253.5
601175.0,347.84
603102.0,-396.79999999999995
605653.0,491.4800000000001
608624.0,-561.1100000000001
610546.0,239.68
612247.0,-288.78000000000003
613915.0,227.59000000000003
615540.0,-239.01000000000002
617352.0,224.60000000000002
618870.0,-278.95000000000005
620422.0,222.77
621827.0,-253.81999999999996
623675.0,234.27999999999997
625199.0,-279.6
626900.0,246.15999999999997
628377.0,-300.09000000000003
630341.0,247.15
631857.0,-310.75
633668.0,214.73
635294.0,-252.6
637145.0,244.4
638807.0,-284.81
641061.0,296.46999999999997
642726.0,-399.97999999999996
644833.0,269.37
646460.0,-369.37000000000006
648470.0,240.58
650022.0,-320.75000000000006
652018.0,298.49
653682.0,-358.9200000000001
655642.0,269.13
657195.0,-348.12
659201.0,281.55
660869.0,-377.82000000000005
662939.0,350.1
664602.0,-413.73
666527.0,293.26
668153.0,-363.9799999999999
669966.0,313.07
671524.0,-373.84000000000003
673481.0,407.4599999999999
675292.0,-470.39
677144.0,323.01000000000005
678732.0,-378.96999999999997
680617.0,302.40999999999997
682210.0,-375.96
684280.0,330.91999999999996
685981.0,-474.14000000000004
688582.0,493.04999999999995
690653.0,-568.8599999999999
692247.0,219.17999999999998
693799.0,-278.75
695612.0,330.68
697312.0,-400.81
699199.0,390.7
700901.0,-465.03000000000003
702970.0,352.17
704670.0,-408.22999999999996
706629.0,317.2699999999999
708034.0,-389.66999999999996
711371.0,319.2
712851.0,-391.81999999999994
714809.0,347.5399999999999
716398.0,-469.66
718280.0,569.1100000000001
720211.0,-563.21
721985.0,262.39
723427.0,-317.5
725128.0,287.29
726645.0,-369.07
728604.0,374.4599999999999
730231.0,-482.59
732068.0,310.78000000000003
733695.0,-418.9100000000001
735544.0,694.88
737762.0,-671.73
739648.0,299.85999999999996
741127.0,-345.75
742802.0,324.24999999999994
744392.0,-365.49000000000007
746203.0,315.76
747766.0,-374.47999999999996
749651.0,309.32000000000005
751092.0,-392.60999999999996
753020.0,311.91999999999996
754500.0,-420.92999999999995
756459.0,441.06000000000006
758240.0,-548.76
760241.0,580.3699999999999
762679.0,-579.3800000000001
764608.0,371.53999999999996
766420.0,-434.46
768601.0,562.8199999999999
770710.0,-594.45
772596.0,329.99
774148.0,-424.97999999999996
775853.0,324.87999999999994
777480.0,-386.15
779440.0,416.87
781069.0,-535.4
782843.0,337.63
784322.0,-392.6
787392.0,415.55
788834.0,-534.1400000000001
791015.0,666.74
793240.0,-715.56
795014.0,306.95000000000005
796492.0,-437.15
798126.0,351.22
799566.0,-401.24000000000007
801341.0,315.53000000000003
802893.0,-398.60999999999996
804753.0,401.49000000000007
806343.0,-550.3000000000001
808155.0,395.87
809637.0,-490.95000000000005
811306.0,384.05
812782.0,-462.74
814520.0,360.34000000000003
815963.0,-461.31
817627.0,357.9799999999999
819069.0,-477.7700000000001
820993.0,380.90000000000003
822548.0,-468.66
824434.0,368.7
