millis,dpSum
615540.0,-185.54
631857.0,-248.25000000000006
650022.0,-361.96000000000015
668153.0,-370.0400000000001
685981.0,-396.4300000000002
704670.0,-335.90000000000003
723427.0,-316.3500000000002
741127.0,-320.78000000000037
758240.0,-399.9600000000001
777480.0,-249.82000000000045
796492.0,-471.10999999999996
812782.0,-455.68
829465.0,-640.7200000000003
848539.0,-459.4399999999997
865152.0,-536.0000000000001
882406.0,-423.52999999999963
899308.0,-346.5200000000004
915331.0,-455.22000000000037
931668.0,-479.4900000000002
948513.0,-260.84000000000026
963515.0,-445.4600000000004
979918.0,-609.3000000000004
994866.0,-671.9700000000004
1010860.0,-653.8700000000002
1025333.0,-445.8699999999999
1040105.0,-769.1200000000001
1055314.0,-648.5799999999999
1069929.0,-412.8499999999998
1084324.0,-481.3899999999999
1098383.0,-488.4100000000003
1111887.0,-624.1600000000001
1126632.0,-311.7700000000001
1139759.0,-427.59000000000015
1152636.0,-263.1400000000001
1165580.0,-220.5500000000004
1177530.0,358.9599999999997
1190736.0,-262.30000000000007
1202237.0,-90.85000000000014
1213515.0,162.88999999999942
1224322.0,326.47
1235161.0,-149.49000000000012
1246076.0,275.65999999999997
1256043.0,4.690000000000509
1265068.0,340.33000000000015
1274245.0,835.9500000000003
1281975.0,581.4099999999999
1289489.0,602.5999999999995
1295824.0,1088.4899999999998
1303255.0,837.42
1312389.0,512.8000000000001
1322012.0,416.22000000000037
1332217.0,468.57000000000005
1341800.0,428.6399999999999
1353074.0,-286.1599999999994
1363992.0,292.3100000000004
1375614.0,-74.7099999999997
1388526.0,458.3700000000001
1401476.0,122.83999999999992
1414098.0,70.62999999999954
1426491.0,-2.7500000000002274
1439077.0,-23.020000000000095
1454912.0,-188.00000000000028
1467262.0,-26.30999999999989
