millis,ts,type,dpIn,dpOut,o2,dpSum,millis_diff,oneDp,o2ini,BreathMarker,volIn,volOut,o2InStpd,o2OutStpd,co2Stpd
596110.0,14:20:30.940 , Vol+O2,0.0,2.94,,0.0,,-2.94,15.35,True,7977.99576584699,,1273.144134295,,
612247.0,14:20:43.419 , Vol+O2,0.0,0.0,15.124451843698404,-288.78000000000003,37.0,0.0,15.26,True,6098.1245308465805,6197.4566166662,973.1506138275734,799.0510462911336,-15.322795795846105
625199.0,14:20:59.845 , Vol+O2,0.0,0.0,14.846391304347826,-279.6,37.0,0.0,14.96,True,6430.062544990387,6627.477904076538,1026.121929940055,837.5562831185631,68.68413858156418
638807.0,14:21:11.347 , Vol+O2,0.0,0.93,14.506217391304347,-284.81,37.0,-0.93,14.63,True,7315.515445593836,7630.136101661835,1167.4242318820632,951.7849811987295,156.81247920450187
653682.0,14:21:28.694 , Vol+O2,0.0,0.37,14.527804347826084,-358.9200000000001,37.0,-0.37,14.69,True,7372.866624611136,7779.1930255653315,1176.5764449571006,978.2517907876154,215.9268563233063
668153.0,14:21:40.096 , Vol+O2,0.0,0.32,14.680715254237287,-363.9799999999999,37.0,-0.32,14.87,True,7630.028770893254,8007.803689377389,1217.6148821424624,1023.1192680677622,175.90002592271048
682210.0,14:21:56.171 , Vol+O2,0.0,0.74,14.917913718606536,-375.96,37.0,-0.74,15.05,True,8115.952930279892,8703.00602402854,1295.1596078345603,1123.0147748101738,311.95331715018256
697312.0,14:22:12.920 , Vol+O2,0.0,0.74,15.000956521739132,-400.81,37.0,-0.74,15.02,True,7949.4359327615775,8322.741255814428,1268.5865003934136,1070.1279525217856,161.607486034236
712851.0,14:22:24.162 , Vol+O2,0.0,1.15,14.749679676808086,-391.81999999999994,37.0,-1.15,14.83,True,7874.580976149897,8300.461006314446,1256.6410003292183,1061.2495679800245,207.21545763903396
726645.0,14:22:40.276 , Vol+O2,0.0,0.0,14.932230434782609,-369.07,37.0,0.0,15.05,True,8411.908558118828,9022.52653654203,1342.3887845167235,1166.4271141938193,322.72730385604245
741127.0,14:22:51.918 , Vol+O2,0.0,0.65,15.20234584980237,-345.75,37.0,-0.65,15.35,True,7197.052614475631,7666.11445166116,1148.5197020983085,995.6147097268314,232.4899293331473
754500.0,14:23:07.971 , Vol+O2,0.0,0.79,14.925889954913002,-420.92999999999995,37.0,-0.79,14.96,True,9656.257870642426,10381.964860083559,1540.9644763007918,1347.3751202831363,383.4010502854526
770710.0,14:23:24.791 , Vol+O2,0.0,1.29,15.157403726708074,-594.45,37.0,-1.29,15.38,True,7822.513233838043,8241.841316368962,1248.3319283948756,1069.2049338072986,187.65385398034778
784322.0,14:23:36.430 , Vol+O2,0.0,0.0,14.967413043478262,-392.6,37.0,0.0,15.23,True,8760.601206779143,9516.69550753562,1398.0338379039556,1224.967625811927,429.4518344292792
799566.0,14:23:53.615 , Vol+O2,0.0,0.82,14.98401185770751,-401.24000000000007,37.0,-0.82,15.11,True,7774.545215970941,8480.174578698363,1240.6770984885109,1088.9939166520487,409.0557107350023
812782.0,14:24:05.664 , Vol+O2,0.0,0.93,14.93460105112279,-462.74,36.0,-0.93,15.02,True,7829.762791530851,8352.059953637074,1249.4888269598432,1080.7950262499257,265.61377573978007
825839.0,14:24:17.051 , Vol+O2,0.0,0.33,15.02417776051733,-509.2700000000001,37.0,-0.33,15.05,True,9332.60773036586,10246.505573346072,1489.3157552747894,1319.1013660582657,536.7705154054374
841164.0,14:24:33.778 , Vol+O2,0.0,1.33,14.89047922467338,-587.4999999999999,37.0,-1.33,14.96,True,8984.716114111083,9628.625711178121,1433.79853220214,1253.91190193919,329.5048822427625
855574.0,14:24:50.406 , Vol+O2,0.0,0.0,15.207617391304348,-451.59,37.0,0.0,15.32,True,8425.517437497323,9025.353278002965,1344.5605160472455,1182.3430347113658,299.07930355186727
868596.0,14:25:01.479 , Vol+O2,0.0,0.0,15.217442028985507,-490.8499999999999,37.0,0.0,15.32,True,9248.930258813898,10050.112290804274,1475.962341058267,1319.1330377845031,430.0410405385719
882406.0,14:25:13.584 , Vol+O2,0.0,0.0,15.260847826086955,-751.71,37.0,0.0,15.38,True,8645.108323368806,9006.227456960634,1379.6032581716192,1190.2008118538974,110.67862037828218
895131.0,14:25:29.948 , Vol+O2,0.0,0.0,15.288465028355388,-368.33,37.0,0.0,15.56,True,9134.643090425801,10289.318744906865,1457.7241716822703,1340.3676520260751,700.2988951247726
909195.0,14:25:41.154 , Vol+O2,0.0,0.0,15.235916149068322,-598.9399999999999,37.0,0.0,15.35,True,9230.530322864945,9941.812900825329,1473.0260433699304,1321.8625828929778,347.7459631235697
921550.0,14:25:52.763 , Vol+O2,0.0,2.03,15.516906178489704,-607.0099999999999,37.0,-2.03,15.62,True,9188.653908943954,9916.286560996716,1466.3433235097548,1323.6813726130454,355.2204893522703
934825.0,14:26:09.127 , Vol+O2,0.0,1.7,15.436934782608695,-511.93000000000006,37.0,-1.7,15.5,True,10209.04593026335,11196.95155319203,1629.1794736849101,1489.80848076734,530.1686198259686
948513.0,14:26:20.715 , Vol+O2,0.0,1.75,15.533612063686467,-757.2,37.0,-1.75,15.62,True,9094.13953907834,9853.566333943667,1451.2605359108807,1325.184101650881,370.29172952786575
960847.0,14:26:31.717 , Vol+O2,0.0,0.0,15.591720979316168,-519.93,37.0,0.0,15.74,True,8180.030557929255,8928.29787560092,1305.3852407097452,1174.9221225294998,406.2870141597323
973000.0,14:26:48.166 , Vol+O2,0.0,0.0,15.21591304347826,-552.32,37.0,0.0,15.35,True,8967.947614981947,9659.451601436158,1431.1225823854475,1272.2545495821967,350.2506985214068
985763.0,14:26:59.193 , Vol+O2,0.0,1.52,15.265749565217392,-561.23,37.0,-1.52,15.41,True,9039.996508320457,9894.194809412646,1442.6202853961527,1301.3453615228182,469.5887925499692
997937.0,14:27:10.692 , Vol+O2,0.0,2.25,15.291258209502843,-727.19,37.0,-2.25,15.35,True,9714.693894547227,10674.90123942064,1550.2898110401761,1410.5189374586287,528.9970779878322
1010860.0,14:27:22.142 , Vol+O2,0.0,1.11,15.342760869565218,-808.31,37.0,-1.11,15.53,True,8976.249443747562,9671.541818038368,1432.447404421842,1282.74331254129,343.9765124249425
1022447.0,14:27:33.110 , Vol+O2,0.0,0.0,15.422189655172414,-682.23,37.0,0.0,15.5,True,9303.155772878388,10180.163059966862,1484.6157544200366,1350.3639619557468,470.35054051323004
1034548.0,14:27:49.167 , Vol+O2,0.0,1.62,15.38,-759.4699999999999,36.0,-1.62,15.5,True,9227.912010431406,10088.81474279147,1472.6082079618463,1338.260738066715,459.9635252910457
1046098.0,14:28:00.573 , Vol+O2,0.0,3.26,15.411214363163424,-807.18,37.0,-3.26,15.56,True,9509.367603487823,10343.404687315893,1517.5234407949204,1376.2096297869814,431.0890536836805
1057872.0,14:28:11.910 , Vol+O2,0.0,2.17,15.481746376811595,-624.1899999999999,37.0,-2.17,15.58,True,9317.247741591302,10115.076660794935,1486.864578289351,1337.684918044089,416.42136257459424
1069929.0,14:28:22.830 , Vol+O2,0.0,0.0,15.225362818590705,-728.4899999999999,37.0,0.0,15.2,True,9557.200325887965,10365.984557032976,1525.1566799866234,1376.4885931060553,414.52788294317634
1081367.0,14:28:34.742 , Vol+O2,0.0,0.0,15.465360516170486,-715.25,37.0,0.0,15.56,True,9554.266107158433,10407.378238631596,1524.6884316352973,1386.2440265927723,442.63025970060517
1093058.0,14:28:45.684 , Vol+O2,0.0,5.55,15.460773455377575,-761.1800000000001,37.0,-5.55,15.65,True,9123.3668284609,10056.270070958106,1455.9246837909845,1343.0845896377868,505.2078133188952
1103712.0,14:28:56.569 , Vol+O2,0.0,1.07,15.57062400489896,-791.3099999999998,37.0,-1.07,15.8,True,9531.062274623737,10072.875662774646,1520.9855187544495,1351.2037874059592,206.7932985013049
