11:11:42.643 , TTPPH, 356352, 21.26, 22.24, 101908.87, 101909.12, 37.59
11:11:47.656 , TTPPH, 361370, 21.27, 22.23, 101909.42, 101903.94, 37.60
11:11:52.726 , TTPPH, 366388, 21.28, 22.24, 101910.23, 101905.17, 37.60
11:11:57.706 , TTPPH, 371406, 21.29, 22.24, 101911.67, 101905.30, 37.57
11:12:02.711 , TTPPH, 376424, 21.31, 22.24, 101912.61, 101907.59, 37.52
11:12:08.074 , TTPPH, 381442, 21.32, 22.25, 101911.45, 101909.88, 37.53
11:12:12.767 , TTPPH, 386460, 21.33, 22.26, 101912.41, 101906.92, 37.53
11:12:17.768 , TTPPH, 391478, 21.34, 22.27, 101915.53, 101909.80, 37.49
11:12:22.921 , TTPPH, 396496, 21.35, 22.29, 101916.28, 101909.06, 37.50
11:12:27.816 , TTPPH, 401514, 21.36, 22.29, 101912.68, 101906.94, 37.51
11:12:32.829 , TTPPH, 406532, 21.37, 22.29, 101912.88, 101911.05, 37.49
11:12:38.266 , TTPPH, 411550, 21.38, 22.31, 101908.39, 101906.97, 37.51
11:12:42.869 , TTPPH, 416568, 21.39, 22.32, 101908.48, 101905.78, 37.51
11:12:47.874 , TTPPH, 421586, 21.40, 22.32, 101905.66, 101896.95, 37.46
11:12:53.116 , TTPPH, 426604, 21.41, 22.36, 101907.36, 101899.67, 37.51
11:12:57.914 , TTPPH, 431622, 21.42, 22.47, 101903.64, 101899.09, 37.59
11:13:02.928 , TTPPH, 436640, 21.43, 22.47, 101903.02, 101896.94, 37.63
11:13:07.966 , TTPPH, 441658, 21.44, 22.50, 101905.16, 101896.30, 37.63
11:13:12.979 , TTPPH, 446676, 21.45, 22.52, 101903.97, 101898.27, 37.60
11:13:17.998 , TTPPH, 451694, 21.47, 22.52, 101908.55, 101903.54, 37.61
11:13:23.313 , TTPPH, 456712, 21.48, 22.52, 101907.11, 101899.94, 37.59
11:13:28.018 , TTPPH, 461730, 21.50, 22.53, 101904.02, 101897.16, 37.60
11:13:33.031 , TTPPH, 466748, 21.51, 22.52, 101906.22, 101898.10, 37.56
11:13:38.163 , TTPPH, 471766, 21.53, 22.53, 101904.75, 101898.69, 37.57
11:13:43.068 , TTPPH, 476784, 21.54, 22.53, 101904.16, 101900.16, 37.50
11:13:48.090 , TTPPH, 481802, 21.55, 22.55, 101906.27, 101899.86, 37.49
11:13:53.508 , TTPPH, 486820, 21.57, 22.55, 101905.58, 101898.47, 37.48
11:13:58.129 , TTPPH, 491838, 21.58, 22.54, 101904.05, 101896.76, 37.48
11:14:03.152 , TTPPH, 496856, 21.59, 22.55, 101905.53, 101892.61, 37.48
11:14:08.362 , TTPPH, 501874, 21.60, 22.56, 101905.77, 101897.09, 37.42
11:14:13.179 , TTPPH, 506892, 21.62, 22.55, 101906.83, 101897.53, 37.40
11:14:18.207 , TTPPH, 511910, 21.62, 22.55, 101902.41, 101895.66, 37.35
11:14:23.707 , TTPPH, 516928, 21.63, 22.55, 101898.52, 101898.34, 37.36
11:14:28.252 , TTPPH, 521946, 21.65, 22.54, 101899.93, 101895.19, 37.35
11:14:33.250 , TTPPH, 526964, 21.65, 22.56, 101902.51, 101903.02, 37.35
11:14:38.557 , TTPPH, 531982, 21.66, 22.56, 101901.80, 101898.33, 37.33
11:14:43.303 , TTPPH, 537000, 21.68, 22.55, 101902.56, 101895.66, 37.32
11:14:48.297 , TTPPH, 542018, 21.68, 22.56, 101899.81, 101895.34, 37.29
11:14:53.404 , TTPPH, 547036, 21.70, 22.55, 101903.67, 101895.02, 37.30
11:14:58.348 , TTPPH, 552054, 21.70, 22.56, 101901.77, 101899.30, 37.28
11:15:09.738 , mppoctht, 558276.00, -4.27, -4.27, 20.59, -0.06, 21.03, 37.30, 21.72
